C:\COSMOS\Basic\outputs\logs\2023_04_02_20_05_33_tlm.bin

TARGET,PACKET,SAMPLE_1_3,SAMPLE_2_3,SAMPLE_3_3,SAMPLE_4_3,SAMPLE_5_3,SAMPLE_6_3,SAMPLE_7_3,SAMPLE_8_3,SAMPLE_9_3,SAMPLE_10_3,SAMPLE_11_3,SAMPLE_12_3,SAMPLE_13_3,SAMPLE_14_3,SAMPLE_15_3,SAMPLE_16_3,SAMPLE_17_3,SAMPLE_18_3,SAMPLE_19_3,SAMPLE_20_3,START_TIME,COLLECTIME1,COLLECTIME2,COLLECTIME3,COLLECTIME4,COLLECTIME5,COLLECTIME6,COLLECTIME7,COLLECTIME8,COLLECTIME9,COLLECTIME10,COLLECTIME11,COLLECTIME12,COLLECTIME13,COLLECTIME14,COLLECTIME15,COLLECTIME16,COLLECTIME17,COLLECTIME18,COLLECTIME19,COLLECTIME20,SAMPLE_1_1,SAMPLE_2_1,SAMPLE_3_1,SAMPLE_4_1,SAMPLE_5_1,SAMPLE_6_1,SAMPLE_7_1,SAMPLE_8_1,SAMPLE_9_1,SAMPLE_10_1,SAMPLE_11_1,SAMPLE_12_1,SAMPLE_13_1,SAMPLE_14_1,SAMPLE_15_1,SAMPLE_16_1,SAMPLE_17_1,SAMPLE_18_1,SAMPLE_19_1,SAMPLE_20_1,SAMPLE_1_2,SAMPLE_2_2,SAMPLE_3_2,SAMPLE_4_2,SAMPLE_5_2,SAMPLE_6_2,SAMPLE_7_2,SAMPLE_8_2,SAMPLE_9_2,SAMPLE_10_2,SAMPLE_11_2,SAMPLE_12_2,SAMPLE_13_2,SAMPLE_14_2,SAMPLE_15_2,SAMPLE_16_2,SAMPLE_17_2,SAMPLE_18_2,SAMPLE_19_2,SAMPLE_20_2
PILOT_TCP,ARIS,2.5926270738,2.6603028582,2.7320069631,2.7980714193000003,2.8552735704,2.9092530651,2.9422852932,3.0099610776,3.0719972133,0.0153076179,0.0749267613,0.1426025457,0.1667724687,0.2682861453,0.3367675938,0.386718768,0.4568115447,0.4801758036,0.5349609624,0.6082763955,4294967254,1975455791,1973455906,1971455940,1969456110,1967455655,1965455824,1963455687,1961455648,1959455968,1957455926,1955456486,1953455748,1951455685,1949455839,1947455737,1945455876,1943455660,1941455795,1939456255,1937455876,0.8443359768,0.8435303127,0.8467529691,0.8217773820000001,0.8443359768,0.8564209383,0.8362793358,0.8370849999000001,0.8354736717,0.8475586332,0.8096924205,0.8169433974,0.8080810923,0.8096924205,0.8056641,0.813720741,0.8056641,0.8153320692,0.8209717179,0.8193603897,0.8201660538000001,0.8096924205,0.8096924205,0.8064697641,0.8104980846000001,0.8113037487,0.8145264051000001,0.813720741,0.7968017949,0.8080810923,0.8040527718,0.7855224975,0.8024414436,0.8088867564000001,0.8008301154,0.8241943743,0.8080810923,0.8266113666,0.8177490615,0.8161377333000001
PILOT_TCP,ARIS,0.668701203,0.7178467131,0.7855224975,0.8644775793,0.9160400817000001,0.9861328584,1.0497803223,1.1013428247000001,1.1754639219,1.1996338449000001,1.2681152934,1.3422363906,1.3946045571,1.4590576851000001,1.5130371798,1.5766846437,1.6314698025,1.7072022279,1.7458741047000002,1.812744225,4294967254,1935455703,1933455341,1931455422,1929455134,1927455394,1925455095,1923455127,1921455451,1919455371,1917455321,1915455303,1913455248,1911455440,1909455097,1907455260,1905455072,1903455702,1901455527,1899455577,1897455360,0.8121094128,0.7976074590000001,0.8161377333000001,0.7871338257,0.8193603897,0.8185547256,0.8258057025000001,0.8274170307000001,0.8080810923,0.8250000384,0.8145264051000001,0.8217773820000001,0.8250000384,0.8209717179,0.8314453512000001,0.8306396871,0.829834023,0.8274170307000001,0.8338623435,0.8266113666,0.8056641,0.8121094128,0.8201660538000001,0.8088867564000001,0.8104980846000001,0.8145264051000001,0.8064697641,0.8016357795,0.8104980846000001,0.8209717179,0.8129150769,0.813720741,0.8129150769,0.8161377333000001,0.8153320692,0.8169433974,0.8153320692,0.7935791385000001,0.8040527718,0.813720741
PILOT_TCP,ARIS,1.8965332914000002,1.9207032144,1.9875733347,2.0455811499,2.102783301,2.1760987341,2.2284669006,2.296142685,2.3533448361000002,2.4274659333,2.4806397639,2.5467042201,2.6103516840000003,2.6385499275,2.6933350863000003,2.7440919246,2.8311036474,2.8697755242,2.9350343163,3.0067384212,4294967254,1895455201,1893454886,1891454811,1889454596,1887454938,1885454777,1883454737,1881454532,1879456172,1877454724,1875454929,1873454624,1871454569,1869454612,1867454804,1865454598,1863454601,1861456260,1859454570,1857455179,0.8386963281,0.829834023,0.8338623435,0.8266113666,0.8225830461,0.8306396871,0.837890664,0.8274170307000001,0.837890664,0.8354736717,0.8322510153,0.8362793358,0.8443359768,0.8443359768,0.8419189845,0.8419189845,0.8435303127,0.8475586332,0.8451416409,0.8507812896,0.7968017949,0.7943848026,0.7951904667,0.8121094128,0.8024414436,0.8209717179,0.8129150769,0.8113037487,0.8121094128,0.8088867564000001,0.8233887102,0.7951904667,0.8113037487,0.8129150769,0.8121094128,0.8040527718,0.813720741,0.7863281616000001,0.7935791385000001,0.8113037487
PILOT_TCP,ARIS,3.0671632287,0.008056641,0.0757324254,0.1281005919,0.1973877045,0.23283692490000002,0.2908447401,0.3536865399,0.4092773628,0.4858154523,0.5381836188,0.5978027622000001,0.6654785466,0.7347656592,0.7984131231,0.8564209383,0.8950928151,0.9595459431000001,1.023193407,1.0610596197,4294967254,1855454475,1853454012,1851453994,1849453978,1847454388,1845454165,1843454802,1841454082,1839454086,1837454169,1835454093,1833454139,1831454053,1829454022,1827454619,1825454510,1823454319,1821454239,1819454160,1817454253,0.8491699614,0.8499756255,0.8088867564000001,0.7976074590000001,0.813720741,0.8000244513,0.7927734744,0.8064697641,0.8104980846000001,0.8048584359000001,0.8104980846000001,0.8193603897,0.8096924205,0.8104980846000001,0.813720741,0.8274170307000001,0.8024414436,0.8250000384,0.8064697641,0.8096924205,0.8185547256,0.8104980846000001,0.8104980846000001,0.8129150769,0.8000244513,0.8145264051000001,0.8104980846000001,0.8080810923,0.8274170307000001,0.8096924205,0.8185547256,0.8104980846000001,0.8217773820000001,0.8209717179,0.8161377333000001,0.781494177,0.8129150769,0.8209717179,0.813720741,0.8113037487
PILOT_TCP,ARIS,1.1247070836,1.2157471269,1.2471680268,1.3261231086,1.385742252,1.4574463569,1.5162598362000002,1.5734619873,1.6491944127,1.675781328,1.732177815,1.7909912943000001,1.8594727428,1.9247315349,1.9851563424,2.0504151345,2.1777100623,2.2341065493,2.2969483491,2.3614014771000003,4294967254,1815453754,1813453716,1811453460,1809454186,1807453703,1805453663,1803453721,1801453464,1799454020,1797453756,1795453409,1793453658,1791454146,1789453535,1787453636,1785453499,1785272800,1779453639,1777453459,1775453617,0.8056641,0.7822998411000001,0.8266113666,0.8274170307000001,0.8250000384,0.8233887102,0.8225830461,0.8338623435,0.8177490615,0.8104980846000001,0.8362793358,0.8314453512000001,0.8250000384,0.8395019922,0.8362793358,0.8370849999000001,0.8395019922,0.8370849999000001,0.8354736717,0.8419189845,0.8096924205,0.8161377333000001,0.8121094128,0.8153320692,0.8113037487,0.8185547256,0.8121094128,0.7919678103000001,0.8153320692,0.8121094128,0.8113037487,0.8088867564000001,0.7959961308,0.8201660538000001,0.7984131231,0.8129150769,0.8185547256,0.8064697641,0.8153320692,0.7992187872000001
PILOT_TCP,ARIS,2.3863770642,2.4419678871,2.5160889843,2.57812512,2.6409669198,2.7021973914,2.7585938784,2.8206300141000002,2.8875001344,2.9374513086,3.0156007263,3.0381593211,3.1034181132,0.0354492204,0.1071533253,0.1595214918,0.225585948,0.2916504042,0.3561035322,0.4229736525,4294967254,1773453141,1771452939,1769453610,1767453128,1765453027,1763453017,1761452826,1759453148,1757453123,1755452910,1753453150,1751453588,1749452882,1747452951,1745453105,1743453036,1741453327,1739453119,1737453026,1735452968,0.8443359768,0.8185547256,0.8370849999000001,0.8362793358,0.837890664,0.8443359768,0.845947305,0.8523926178,0.8403076563,0.8362793358,0.8612549229,0.8540039460000001,0.8403076563,0.8628662511,0.813720741,0.8072754282,0.8113037487,0.8169433974,0.8121094128,0.8113037487,0.7863281616000001,0.8088867564000001,0.7968017949,0.8056641,0.7959961308,0.813720741,0.8121094128,0.8225830461,0.8072754282,0.8000244513,0.8129150769,0.7943848026,0.8193603897,0.8217773820000001,0.8209717179,0.8121094128,0.8072754282,0.8129150769,0.8169433974,0.7847168334
PILOT_TCP,ARIS,0.4850097882,0.5148193599,0.612304716,0.628417998,0.6968994465,0.7605469104,0.8250000384,0.8773682049,0.9531006303,1.0248047352,1.0868408709,1.1335693887,1.1730469296000001,1.2713379498000001,1.3325684214,1.3494873675,1.4058838545,1.4848389363,1.5412354233,1.6145508564,4294967254,1733452709,1731452313,1729452290,1727452745,1725452493,1723452509,1721452525,1719452967,1717452575,1715452362,1713452258,1711452524,1709452900,1707452769,1705452728,1703452350,1701452397,1699452710,1697452829,1695452284,0.8250000384,0.8113037487,0.7992187872000001,0.8153320692,0.813720741,0.8104980846000001,0.8201660538000001,0.8209717179,0.813720741,0.8145264051000001,0.8266113666,0.8064697641,0.8274170307000001,0.8250000384,0.8225830461,0.8193603897,0.8145264051000001,0.7927734744,0.8282226948,0.8250000384,0.7951904667,0.8161377333000001,0.7976074590000001,0.8024414436,0.8209717179,0.8104980846000001,0.8129150769,0.8161377333000001,0.8129150769,0.8201660538000001,0.8153320692,0.8113037487,0.8266113666,0.8161377333000001,0.7911621462,0.8072754282,0.8185547256,0.8113037487,0.8282226948,0.8088867564000001
PILOT_TCP,ARIS,1.667724687,1.7184815253,1.7950196148000002,1.8578614146,1.925537199,1.9851563424,2.0455811499,2.0770020498,2.1390381855,2.2083252981,2.271972762,2.3195069439,2.3823487437,2.4451905435,2.513671992,2.5813477764,2.634521607,2.6957520786,2.7521485656,2.7980714193000003,4294967254,1693451822,1691451950,1689452126,1687452131,1685451823,1683451799,1681451738,1679451752,1677451753,1675451836,1673451760,1671451774,1669451676,1667451952,1665452113,1663451788,1661452029,1659452278,1657451726,1655451867,0.8209717179,0.8241943743,0.8032471077000001,0.837890664,0.8217773820000001,0.8290283589,0.8362793358,0.8362793358,0.8427246486000001,0.8266113666,0.8258057025000001,0.8330566794,0.8322510153,0.8161377333000001,0.8362793358,0.8386963281,0.8346680076,0.8403076563,0.8330566794,0.8475586332,0.8113037487,0.813720741,0.8113037487,0.8185547256,0.8153320692,0.8096924205,0.8048584359000001,0.8241943743,0.8201660538000001,0.8161377333000001,0.8129150769,0.8129150769,0.8225830461,0.813720741,0.8177490615,0.8104980846000001,0.8193603897,0.8145264051000001,0.8241943743,0.8185547256
PILOT_TCP,ARIS,2.8576905627,2.9197266984,2.9575929111,3.0478272903,3.1001954568000003,0.0410888691,0.11359863810000001,0.17160645330000002,0.22719727620000002,0.2940673965,0.3536865399,0.35449220400000003,0.4576172088,0.5132080317000001,0.5816894802,0.6405029595,0.6880371414,0.7645752309,0.8370849999000001,0.878173869,4294967254,1653450866,1651450720,1649451092,1647450861,1645450984,1643450690,1641451426,1639450978,1637450847,1635450702,1633450779,1631451443,1629451260,1627450981,1625450692,1623450951,1621451235,1619450951,1617450730,1615450672,0.8306396871,0.845947305,0.8443359768,0.8531982819,0.8499756255,0.8588379306,0.8088867564000001,0.8185547256,0.8064697641,0.7919678103000001,0.813720741,0.8145264051000001,0.8056641,0.8153320692,0.7919678103000001,0.8217773820000001,0.7822998411000001,0.8169433974,0.8185547256,0.7927734744,0.8185547256,0.8161377333000001,0.8185547256,0.8048584359000001,0.8129150769,0.8145264051000001,0.8080810923,0.8177490615,0.8185547256,0.8129150769,0.8177490615,0.8088867564000001,0.8129150769,0.8064697641,0.8129150769,0.813720741,0.8096924205,0.8266113666,0.8064697641,0.8169433974
PILOT_TCP,ARIS,0.9514893021,1.0119141096,1.0715332530000001,1.103759817,1.176269586,1.2375000576000001,1.3051758420000001,1.3615723290000001,1.4179688160000001,1.4920899132,1.5420410874000001,1.6105225359,1.6749756639,1.7337891432,1.7716553559000001,1.9126465734,1.9424561451,2.0093262654,2.0761963857,2.1011719728,4294967254,1613450247,1611450279,1609450516,1607450302,1605450240,1603450322,1601450290,1599450207,1597450114,1595450481,1593450311,1591450202,1589450163,1587450224,1585450331,1585272684,1579450616,1577450384,1575450195,1573450345,0.8080810923,0.8290283589,0.8250000384,0.8169433974,0.8185547256,0.8233887102,0.8121094128,0.8258057025000001,0.8104980846000001,0.8282226948,0.8274170307000001,0.8306396871,0.8258057025000001,0.8258057025000001,0.8282226948,0.8362793358,0.8330566794,0.8266113666,0.8290283589,0.8314453512000001,0.8217773820000001,0.8016357795,0.8161377333000001,0.8121094128,0.8193603897,0.8072754282,0.8145264051000001,0.8121094128,0.8209717179,0.8121094128,0.8258057025000001,0.813720741,0.8233887102,0.8080810923,0.8008301154,0.8177490615,0.7871338257,0.8233887102,0.8040527718,0.8121094128
